path,file_format,support_status,reason
msg/Bfile17.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/Bfile18.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/Bfile19.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/Bfile20.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/Bfile21.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/Bfile22.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/Jfile01.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/KFile01.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/KFile02.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/KFile03.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/KFile04.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/KFile05.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/KFile06.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/KFile07.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/KFile08.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/KFile09.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/KFile10.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/KFile11.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/after_war.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/after_war2.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/after_war_ronkou.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/ending_hanyou.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/help.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/jisetsu.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/kaimei.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/kassen_editor_and_trial.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/naibu_editor.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/pk_event00.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/pk_event01.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/pk_event02.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/pk_help1.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/pk_help2.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/pk_mapeditor.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/pk_seiryaku.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/premov.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/revent00.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/revent01.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/revent02.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/rifevent00.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/rifevent00_01.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/rifevent00_02.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/rifevent01.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/rifevent02.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/rifevent03.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/root.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/seiryaku.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/seiryaku_hanyou.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/shoki_settei.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/shutsujin.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/tutorial.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/war_event.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/war_non_standard.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/war_standard.n11,MSG_N11F_TEXT_PLUS_POINTER_TABLE,CONDITIONAL,"N11F magic matched; text region parses as CP932 with no encryption (measured on 69/69 sample files), but pointer-table-to-message mapping is unresolved, so writes are not SUPPORTED yet."
msg/yabou.n11,MSG_YABOU_ASCII_DECIMAL,CONDITIONAL,"yabou.n11 variant: read-only parser verified for text region 1 and the error-message tail; pointer/offset-table semantics not fully closed (spec 2.3), so not SUPPORTED for writes."
